task;id;system;prediction;reference;rougeL_f1;exact_match_norm;manual_label
qa;572bff5edfb02c14005c6b2d;rag_bm25;adverbial;God is omnipotent, omniscient, and benevolent,;0;0;correct
qa;572bff5edfb02c14005c6b2d;rag_dense;adverbial;God is omnipotent, omniscient, and benevolent,;0;0;correct
qa;572ea842dfa6aa1500f8d26f;llm;It is a genus of fungi.;higher internal heating;0;0;incorrect_or_hallucinated
qa;572ea842dfa6aa1500f8d26f;rag_bm25;Neptune);higher internal heating;0;0;incorrect_or_hallucinated
qa;572ea842dfa6aa1500f8d26f;rag_dense;[3];higher internal heating;0;0;incorrect_or_hallucinated
qa;57070b1490286e26004fc83e;llm;adolescent;socio-political constructs;0;0;incorrect_or_hallucinated
qa;57070b1490286e26004fc83e;rag_bm25;entomologist;socio-political constructs;0;0;partially_correct
qa;57070b1490286e26004fc83e;rag_dense;I don't know;socio-political constructs;0;0;partially_correct
qa;572a35beaf94a219006aa8a5;llm;a landslide;the detriment of local Ottoman interests;0;0;incorrect_or_hallucinated
qa;572a35beaf94a219006aa8a5;rag_bm25;Britain moved to pre-empt this by invading Afghanistan;the detriment of local Ottoman interests;0;0;incorrect_or_hallucinated
qa;572a35beaf94a219006aa8a5;rag_dense;I don't know).;the detriment of local Ottoman interests;0;0;partially_correct
qa;5731cb92e99e3014001e628c;llm;I don't know.;governmentally composed prayers for religious services;0;0;partially_correct
qa;5731cb92e99e3014001e628c;rag_bm25;[3];governmentally composed prayers for religious services;0;0;incorrect_or_hallucinated
qa;5731cb92e99e3014001e628c;rag_dense;Plymouth Colony;governmentally composed prayers for religious services;0;0;partially_correct
qa;5726a91c5951b619008f7962;llm;festival;Glastonbury also gives its name to an annual open-air rock festival held in nearby Pilton;1,17647E+16;0;correct
qa;5726a91c5951b619008f7962;rag_bm25;Jesus' conception;Glastonbury also gives its name to an annual open-air rock festival held in nearby Pilton;0;0;incorrect_or_hallucinated
qa;5726a91c5951b619008f7962;rag_dense;George V;Glastonbury also gives its name to an annual open-air rock festival held in nearby Pilton;0;0;incorrect_or_hallucinated
sum;611;llm;South Africa's Freedom Day is celebrated in South Africa on April 27.;"South Africa marks 21 years since the first free election .
Nation celebrates amid recent violent attack on immigrants .";2,58065E+15;0;correct
sum;611;rag_bm25;[1] iconic South African freedom fighter Nelson Mandela.;"South Africa marks 21 years since the first free election .
Nation celebrates amid recent violent attack on immigrants .";7,69231E+15;0;correct
sum;611;rag_dense;[1] iconic South African freedom fighter Nelson Mandela.;"South Africa marks 21 years since the first free election .
Nation celebrates amid recent violent attack on immigrants .";7,69231E+15;0;correct
sum;2384;llm;Nico Rosberg's team-mate. Hamilton was a 'strange' driver in the first round of the Chinese Grand Prix. Rosberg was a 'strange' driver.;"Nico Rosberg was the last driver out of the pit-lane and was forced to turn in a quicker out-lap than he would have liked ahead of his final shot at pole .
The German narrowly lost out  to his team-mate Lewis Hamilton .
Rosberg was just 0.042secs slower than his Mercedes rival .
Rosberg also said: 'Oh, come on, guys', over the team radio after he was informed he'd missed out on pole for Sunday's Chinese Grand Prix .";1,90476E+15;0;correct
sum;2384;rag_bm25;Hamilton's fastest lap in the first round of the race. Hamilton will start from the front of the pack with Jenson Button 17th and Fernando Alonso 18th. Hamilton will start from the front of the pack with Jenson Button 17th and Fernando Alonso 18th.;"Nico Rosberg was the last driver out of the pit-lane and was forced to turn in a quicker out-lap than he would have liked ahead of his final shot at pole .
The German narrowly lost out  to his team-mate Lewis Hamilton .
Rosberg was just 0.042secs slower than his Mercedes rival .
Rosberg also said: 'Oh, come on, guys', over the team radio after he was informed he'd missed out on pole for Sunday's Chinese Grand Prix .";1,11111E+15;0;incorrect_or_hallucinated
sum;2384;rag_dense;Hamilton will start from the front of the pack as he bids to win his fourth grand prix in China. Hamilton will start from the front of the pack as he bids to win his fourth grand prix in China. Hamilton will start from the front of the pack as he bids to win his fourth grand prix in China. The German has now been out-qualified by Hamilton at each of the three races this season. Hamilton, who is customarily gracious in defeat, fell slightly short of Hamilton’s mark and was grumpy afterwards. He said: ’It was not ideal to put me;"Nico Rosberg was the last driver out of the pit-lane and was forced to turn in a quicker out-lap than he would have liked ahead of his final shot at pole .
The German narrowly lost out  to his team-mate Lewis Hamilton .
Rosberg was just 0.042secs slower than his Mercedes rival .
Rosberg also said: 'Oh, come on, guys', over the team radio after he was informed he'd missed out on pole for Sunday's Chinese Grand Prix .";1,62162E+16;0;incorrect_or_hallucinated
sum;8241;llm;A hate preacher who was invited to speak at the Oxford Union has been refused a passport.;"Preacher Trevor Brooks has been refused a passport by the Home Office .
Brooks, 39, is an associate of Islamist firebrand preacher Anjem Choudary .
A Home Office letter said he is linked to banned group Al Muhajiroun .
It added he was assessed as being likely to travel to Syria to fight for ISIS .";1,73913E+15;0;partially_correct
sum;8241;rag_bm25;A radical Muslim preacher has been refused a passport after the Home Office accused him of planning to join Islamic State.;"Preacher Trevor Brooks has been refused a passport by the Home Office .
Brooks, 39, is an associate of Islamist firebrand preacher Anjem Choudary .
A Home Office letter said he is linked to banned group Al Muhajiroun .
It added he was assessed as being likely to travel to Syria to fight for ISIS .";3,0137E+15;0;incorrect_or_hallucinated
sum;8241;rag_dense;A radical Muslim preacher has been refused a passport after the Home Office accused him of planning to join Islamic State.;"Preacher Trevor Brooks has been refused a passport by the Home Office .
Brooks, 39, is an associate of Islamist firebrand preacher Anjem Choudary .
A Home Office letter said he is linked to banned group Al Muhajiroun .
It added he was assessed as being likely to travel to Syria to fight for ISIS .";3,0137E+15;0;incorrect_or_hallucinated
sum;1850;llm;Derby want Sean Dyche to replace Steve McClaren. Dyche has been linked with a move to Newcastle. Derby want McClaren to replace Steve McClaren.;"Steve McClaren has been linked with a number of jobs including Newcastle .
Derby are chasing a play-off place and are sixth in the Championship .
The rams have been impressed with Sean Dyche in the Premier League .
Derby want the Burnley boss to replace McClaren if he leaves this summer .";3,51351E+16;0;correct
sum;1850;rag_bm25;Derby County want Sean Dyche to replace Steve McClaren. Derby want Sean Dyche to replace Steve McClaren. Dyche has been linked with a move to Newcastle at the end of the season. McClaren has been heavily backed to replace Alan Pardew at Newcastle earlier this season.;"Steve McClaren has been linked with a number of jobs including Newcastle .
Derby are chasing a play-off place and are sixth in the Championship .
The rams have been impressed with Sean Dyche in the Premier League .
Derby want the Burnley boss to replace McClaren if he leaves this summer .";2,91667E+15;0;partially_correct
sum;1850;rag_dense;Derby County want Sean Dyche to replace Steve McClaren. Derby want Sean Dyche to replace Steve McClaren.;"Steve McClaren has been linked with a number of jobs including Newcastle .
Derby are chasing a play-off place and are sixth in the Championship .
The rams have been impressed with Sean Dyche in the Premier League .
Derby want the Burnley boss to replace McClaren if he leaves this summer .";2,38806E+16;0;incorrect_or_hallucinated
sum;2303;llm;Ricky Hatton's former trainer has been charged with sexual assault on a girl under the age of 16. The former two-weight world champion has been charged with a sexual assault on a girl under the age of 16. Shannon trained Hatton for just one fight, against Vyacheslav Senchenko.;"Boxing trainer Bob Shannon has been charged with sexual assault .
Shannon is best known for training Ricky Hatton in 2012 .
Hatton lost their only fight together against Vyacheslav Senchenko in 2012 .
Shannon will appear before magistrates in Manchester next week .";3,11111E+15;0;incorrect_or_hallucinated
sum;2303;rag_bm25;Ricky Hatton’s former trainer has been charged with sexually assaulting a girl under the age of 16.;"Boxing trainer Bob Shannon has been charged with sexual assault .
Shannon is best known for training Ricky Hatton in 2012 .
Hatton lost their only fight together against Vyacheslav Senchenko in 2012 .
Shannon will appear before magistrates in Manchester next week .";2,41379E+16;0;correct
sum;2303;rag_dense;[1] win the welterweight world title, under the tutelage of long-term trainer Billy Graham. Hatton’s weight fluctuations between fights eventually caught up with him and he lost super-fights against Floyd Mayweather in 2007 and Manny Pacquiao two years later, before retiring for the first time. He turned to Shannon to guide his comeback in 2012 but the Senchenko defeat was their only fight together.;"Boxing trainer Bob Shannon has been charged with sexual assault .
Shannon is best known for training Ricky Hatton in 2012 .
Hatton lost their only fight together against Vyacheslav Senchenko in 2012 .
Shannon will appear before magistrates in Manchester next week .";1,68224E+16;0;incorrect_or_hallucinated
sum;1842;llm;Nabil Fekir's father says he would not go to Manchester City to sit on the bench. The Lyon star has been attracting interest from Premier League clubs but his family are disappointed with his insistence on pursuing a deal with City. Fekir has been attracting interest from Premier League clubs but his family are reportedly disappointed with their insistence on pursuing a deal with City.;"Lyon star Nabil Fekir has attracted interest from Premier League clubs .
Frontman's father believes Fekir would progress and develop at Arsenal .
However, Fekir Snr thinks his son would be stuck on bench at Man City .";2,54902E+15;0;partially_correct
sum;1842;rag_bm25;Nabil Fekir's father said: 'Nabil would like to finish 1st or 2nd and play Champions League football with Lyon. If he leaves, it'll be for Arsenal. It's the only club that can enable him to progress, with Arsene Wenger. He will not go to Manchester City to sit on the bench.;"Lyon star Nabil Fekir has attracted interest from Premier League clubs .
Frontman's father believes Fekir would progress and develop at Arsenal .
However, Fekir Snr thinks his son would be stuck on bench at Man City .";2;0;incorrect_or_hallucinated
sum;1842;rag_dense;Nabil Fekir's father insists Arsenal would be the ideal destination for his son, rather than a move to Manchester City. Fekir recently split with his agents after his family were disappointed with their insistence on pursuing a deal with City. Fekir recently split with his agents after his family were reportedly disappointed with their insistence on pursuing a deal with City. Fekir recently split with his agents after his family were reportedly disappointed with their insistence on pursuing a deal with City.;"Lyon star Nabil Fekir has attracted interest from Premier League clubs .
Frontman's father believes Fekir would progress and develop at Arsenal .
However, Fekir Snr thinks his son would be stuck on bench at Man City .";1,51261E+16;0;incorrect_or_hallucinated
sum;8185;llm;Study found that just one extra meal out a week raises the odds of having high blood pressure by six per cent. Eating out is associated with higher calorie, saturated fat and salt intake.;"Those who often dine out are more likely to have elevated blood pressure .
Eating out is associated with higher calorie, saturated fat and salt intake .
Researchers found 27.4% of Singapore's population had pre-hypertension .
Of these, more than a third ate more than 12 meals out every week .";3,80952E+16;0;incorrect_or_hallucinated
sum;8185;rag_bm25;Study found that just one extra meal out a week raised the odds of having high blood pressure by six per cent. The study found that even eating one extra meal out raised the odds of having high blood pressure by six per cent.;"Those who often dine out are more likely to have elevated blood pressure .
Eating out is associated with higher calorie, saturated fat and salt intake .
Researchers found 27.4% of Singapore's population had pre-hypertension .
Of these, more than a third ate more than 12 meals out every week .";1,48936E+16;0;correct
sum;8185;rag_dense;Researchers in Singapore found that pre-hypertension and hypertension were more likely to eat more meals away from home than in men.;"Those who often dine out are more likely to have elevated blood pressure .
Eating out is associated with higher calorie, saturated fat and salt intake .
Researchers found 27.4% of Singapore's population had pre-hypertension .
Of these, more than a third ate more than 12 meals out every week .";1,94444E+16;0;incorrect_or_hallucinated
sum;1462;llm;Smartphones are the most popular item, with an average of 1.7 per household. Smartphones are the most popular item, with an average of 1.7 per household.;"Smartphones are the most common web devices, at 1.7 per home .
Laptops and tablets are just behind, a YouGov poll has found .
Meanwhile, digital advertising has hit a record high of £7.2billion .";3,22581E+15;0;partially_correct
sum;1462;rag_bm25;The survey found the average Briton who is online is willing to pay a maximum of £1.53 a month for their email service, £1.33 to use search engines, £1.10 for video content, 92p for news websites, 88p.;"Smartphones are the most common web devices, at 1.7 per home .
Laptops and tablets are just behind, a YouGov poll has found .
Meanwhile, digital advertising has hit a record high of £7.2billion .";1,08108E+15;0;incorrect_or_hallucinated
sum;1462;rag_dense;The survey found the average Briton who is online is willing to pay a maximum of £1.53 a month for their email service, £1.33 to use search engines, £1.10 for video content, 92p for news websites, 88p.;"Smartphones are the most common web devices, at 1.7 per home .
Laptops and tablets are just behind, a YouGov poll has found .
Meanwhile, digital advertising has hit a record high of £7.2billion .";1,08108E+15;0;incorrect_or_hallucinated
sum;138;llm;The driver of a Lamborghini was killed in a crash at Walt Disney World Speedway in Orlando, Florida, on Sunday.;"The crash occurred at the Exotic Driving Experience at Walt Disney World Speedway .
Officials say the driver, 24-year-old Tavon Watson, lost control of a Lamborghini .
Passenger Gary Terry, 36, died at the scene .";2,54545E+15;0;incorrect_or_hallucinated
sum;138;rag_bm25;What was supposed to be a fantasy sports car ride at Walt Disney World Speedway turned deadly when a Lamborghini crashed into a guardrail.;"The crash occurred at the Exotic Driving Experience at Walt Disney World Speedway .
Officials say the driver, 24-year-old Tavon Watson, lost control of a Lamborghini .
Passenger Gary Terry, 36, died at the scene .";2,37288E+16;0;correct
sum;138;rag_dense;What was supposed to be a fantasy sports car ride at Walt Disney World Speedway turned deadly when a Lamborghini crashed into a guardrail.;"The crash occurred at the Exotic Driving Experience at Walt Disney World Speedway .
Officials say the driver, 24-year-old Tavon Watson, lost control of a Lamborghini .
Passenger Gary Terry, 36, died at the scene .";2,37288E+16;0;incorrect_or_hallucinated
sum;2820;llm;Manchester United boss says he is keen on staying at Atletico Madrid. The 30-year-old has admitted he is 'proud' to be linked with a move to Manchester United.;"Miranda has been linked with a summer move to Manchester United .
However the Brazilian centre back is keen on staying at Atletico Madrid .
Miranda has said he is 'proud' to be on Louis van Gaal's radar .";4,47761E+15;0;partially_correct
sum;2820;rag_bm25;Manchester United target Miranda has revealed his delight at being linked with a move to Louis van Gaal's side. The 30-year-old has revealed his delight at being linked with a move to Manchester United. The Brazilian centre back is said to be on Van Gaal's summer wishlist as the Dutchman is keen on strengthening his defensive options ahead of the 2015-16 campaign.;"Miranda has been linked with a summer move to Manchester United .
However the Brazilian centre back is keen on staying at Atletico Madrid .
Miranda has said he is 'proud' to be on Louis van Gaal's radar .";4,03846E+16;0;incorrect_or_hallucinated
sum;2820;rag_dense;Manchester United boss says he is keen on staying at Atletico Madrid. The 30-year-old has revealed he is keen on staying at Atletico Madrid. The Brazilian centre back has revealed he is keen on staying at Atletico Madrid.;"Miranda has been linked with a summer move to Manchester United .
However the Brazilian centre back is keen on staying at Atletico Madrid .
Miranda has said he is 'proud' to be on Louis van Gaal's radar .";3,63636E+16;0;partially_correct
